channel,hour,reason_codes,n
temperature,17,out_of_range,77
temperature,17,single_spike,617
temperature,17,stuck_value,398
temperature,18,out_of_range,275
temperature,18,single_spike,584
temperature,18,stuck_value,409
temperature,19,data_loss,8
temperature,19,out_of_range,360
temperature,19,single_spike,783
temperature,19,stuck_value,656
temperature,20,data_loss,1
temperature,20,out_of_range,369
temperature,20,single_spike,895
temperature,20,stuck_value,750
temperature,21,data_loss,5
temperature,21,out_of_range,390
temperature,21,single_spike,1037
temperature,21,stuck_value,970
temperature,22,out_of_range,364
temperature,22,single_spike,1118
temperature,22,stuck_value,1174
temperature,23,data_loss,32
temperature,23,out_of_range,361
temperature,23,single_spike,1150
temperature,23,stuck_value,1201
