pair,window,feature_set,method,n_test,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,fault_detection_recall,fault_recall_ci_lo,fault_recall_ci_hi,false_event_rate,event_level_recall,event_recall_ci_lo,event_recall_ci_hi,n_true_instances_test,gradual_shift_recall,n_gradual_shift_instances,gradual_shift_median_latency_s,gradual_shift_n_missed
temperature,10,c_plus_ah,decision_tree,69684,0.6655865297293455,0.6262607692063332,0.6994747766156639,0.6225382813221936,0.5925718101351028,0.6505853323616848,0.25611024440977637,0.2111241950960319,0.3175974373824172,0.03298119041484154,0.6272727272727273,0.5635227272727272,0.6909090909090909,220,0.6792452830188679,53,90.00024450000001,17
temperature,10,c_plus_ah,random_forest,69684,0.6147993406170927,0.5719172731763731,0.6577871974091621,0.5827612827703197,0.5554169285800699,0.6132071069912015,0.17121684867394696,0.13124683426063052,0.23471177739298507,0.013140943055913424,0.4409090909090909,0.37727272727272726,0.509090909090909,220,0.3584905660377358,53,390.001061,34
temperature,10,d_cross_only,logistic_regression,69684,0.5191048533292526,0.4917331174435564,0.5473938882428927,0.524158746063354,0.5089991553659536,0.5404420573075349,0.051092043681747266,0.019497495273570423,0.08542570739875405,0.0,0.1,0.06363636363636363,0.1409090909090909,220,0.018867924528301886,53,870.002366,52
temperature,10,d_cross_only,decision_tree,69684,0.5692259365780346,0.5421111163730742,0.5987039935080897,0.5540104918172724,0.5361919038628896,0.57468226633487,0.12376495059802392,0.08735750755178846,0.17081805225276012,0.044060809069827366,0.4409090909090909,0.37727272727272726,0.5045454545454545,220,0.22641509433962265,53,930.0025355,41
temperature,10,d_cross_only,random_forest,69684,0.575551543654529,0.5446994005184356,0.610033147075094,0.5578744975195833,0.5382209254087709,0.5813353213065537,0.12831513260530422,0.09113308589607634,0.1757055933331158,0.03813450141716052,0.42272727272727273,0.35909090909090907,0.4863636363636364,220,0.18867924528301888,53,930.0025355,43
temperature,20,n/a,baseline_single_channel_rule,68521,0.4842985802957807,0.47813885013148566,0.4928953435599783,0.5014235800635681,0.4978427620428439,0.505613390965419,0.02026315789473684,0.013647524681249022,0.02913059654294943,0.016719745222929936,0.42727272727272725,0.36363636363636365,0.49556818181818174,220,0.20754716981132076,53,960.002577,42
temperature,20,n/a,baseline_one_out_of_two_comparator,68521,0.5036769963849491,0.4843681082688505,0.5193541787997362,0.5064867496645785,0.4940019584470221,0.5185057939318289,0.06907894736842106,0.040182478096097235,0.1028840586702692,0.10987261146496816,0.20454545454545456,0.15454545454545454,0.2636363636363636,220,0.16981132075471697,53,390.001056,44
temperature,20,a_single_only,logistic_regression,68521,0.47062686382669694,0.4668575285784407,0.47449113056427605,0.49996717059798756,0.499915622881971,0.5,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.022727272727272728,220,0.0,53,,53
temperature,20,a_single_only,decision_tree,68521,0.7147174198570372,0.6807659754654077,0.7470164663414829,0.6575616328826202,0.6290401473990894,0.6860918916667729,0.3192105263157895,0.27391909924793745,0.3756841753364612,0.009554140127388535,0.6272727272727273,0.5636363636363636,0.6909090909090909,220,0.660377358490566,53,30.000083,18
temperature,20,a_single_only,random_forest,68521,0.6494106349329064,0.6150444656038523,0.6785741490269034,0.6103571223387666,0.5840949264598714,0.6332503473519802,0.2325,0.19350062232977003,0.29071458561731706,0.019904458598726114,0.5772727272727273,0.5136363636363637,0.6409090909090909,220,0.6415094339622641,53,150.00041,19
