sample_id,method,selection_reason,boundary_channel,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
boundary_humidity_2026-07-28T11:10:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Acceptable,1,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,6.934004924655098,2.2307156727640347,20.627054977148248,21.680594380897748,30,10,0,0.3333333333333333,0.0,0.19230295526846194,0.5122027418616973,0.0,0.113517091390478
boundary_humidity_2026-07-28T11:10:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Acceptable,1,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,6.934004924655098,2.2307156727640347,20.627054977148248,21.680594380897748,30,10,0,0.3333333333333333,0.0,0.19230295526846194,0.5122027418616973,0.0,0.113517091390478
boundary_pm10_2026-07-23T00:55:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-23T00:55:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,1.734966063351962,2.4868995751603507e-14,10.687475961147456,10.947528250714505,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-23T00:55:00+03:00,PROPOSED_HFIS,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,1.7493283320569466,2.1316282072803006e-14,10.872338099694689,10.947528250714505,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-23T00:55:00+03:00,WEIGHTED_MEAN,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,4.809059152914729,5.672001765521884,6.827998234478096,8.265321844334792,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-26T21:15:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-26T21:15:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.49633986004426567,1.4210854715202004e-14,3.5783353773130955,4.6596237662885756,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-26T21:15:00+03:00,PROPOSED_HFIS,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.49633986004426894,1.7763568394002505e-14,3.5783353773130955,4.6596237662885756,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm10_2026-07-26T21:15:00+03:00,WEIGHTED_MEAN,boundary_adjacent,pm10,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.2481699300221339,7.105427357601002e-15,1.7891676886565477,2.3298118831442807,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_pm2_5_2026-07-15T10:55:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,pm2_5,Acceptable,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,11.666666666666666,0.0,25.0,25.0,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
boundary_pm2_5_2026-07-15T10:55:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,pm2_5,Acceptable,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,9.014141057044283,9.830100438311128,12.951300467006714,12.951300467006714,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
boundary_pm2_5_2026-07-15T10:55:00+03:00,PROPOSED_HFIS,boundary_adjacent,pm2_5,Acceptable,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,8.981642111206293,9.830100438311128,12.951300467006714,12.951300467006714,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
boundary_pm2_5_2026-07-15T10:55:00+03:00,WEIGHTED_MEAN,boundary_adjacent,pm2_5,Favorable,1,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,5.2849713274432775,4.915050219155564,11.384613598012212,11.557802723265908,30,0,4,0.0,0.13333333333333333,0.0,0.113517091390478,0.05309569424218104,0.2968168394441695
boundary_pm2_5_2026-07-16T05:50:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,pm2_5,Acceptable,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,11.666666666666666,0.0,25.0,25.0,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
boundary_pm2_5_2026-07-16T05:50:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,pm2_5,Acceptable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,9.445156737487588,11.852510924731156,13.00639918288283,13.00639918288283,30,13,0,0.43333333333333335,0.0,0.2737723743061511,0.6080299045459127,0.0,0.113517091390478
boundary_pm2_5_2026-07-16T05:50:00+03:00,PROPOSED_HFIS,boundary_adjacent,pm2_5,Acceptable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,9.44515673748759,11.852510924731156,13.00639918288283,13.00639918288283,30,13,0,0.43333333333333335,0.0,0.2737723743061511,0.6080299045459127,0.0,0.113517091390478
