masking_case,dataset_split,strategy,true_index_class,predicted_index_class,count
direct_input:co2,calibration,mean_imputation,Critical,Degraded,0
direct_input:co2,calibration,mean_imputation,Critical,Critical,303
direct_input:co2,calibration,proposed,Favourable,Favourable,260
direct_input:co2,calibration,proposed,Favourable,Acceptable,0
direct_input:co2,calibration,proposed,Favourable,Degraded,0
direct_input:co2,calibration,proposed,Favourable,Critical,0
direct_input:co2,calibration,proposed,Acceptable,Favourable,9
direct_input:co2,calibration,proposed,Acceptable,Acceptable,95
direct_input:co2,calibration,proposed,Acceptable,Degraded,0
direct_input:co2,calibration,proposed,Acceptable,Critical,0
direct_input:co2,calibration,proposed,Degraded,Favourable,4
direct_input:co2,calibration,proposed,Degraded,Acceptable,2
direct_input:co2,calibration,proposed,Degraded,Degraded,167
direct_input:co2,calibration,proposed,Degraded,Critical,0
direct_input:co2,calibration,proposed,Critical,Favourable,0
direct_input:co2,calibration,proposed,Critical,Acceptable,0
direct_input:co2,calibration,proposed,Critical,Degraded,0
direct_input:co2,calibration,proposed,Critical,Critical,303
