sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
class_Favorable_2026-07-27T05:50:00+03:00,2026-07-27 05:50:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
class_Favorable_2026-07-27T10:20:00+03:00,2026-07-27 10:20:00+03:00,class_Favorable,OK,Favorable,24.681193415638216,0.8,OK,24.681193415638216,Favorable
class_Favorable_2026-07-29T02:10:00+03:00,2026-07-29 02:10:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-16T19:00:00+03:00,2026-07-16 19:00:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-16T19:35:00+03:00,2026-07-16 19:35:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-26T05:30:00+03:00,2026-07-26 05:30:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-28T05:10:00+03:00,2026-07-28 05:10:00+03:00,completeness_PARTIAL,PARTIAL,Acceptable,34.70036324794836,0.8,PARTIAL,34.70036324794836,Acceptable
completeness_PARTIAL_2026-07-28T07:40:00+03:00,2026-07-28 07:40:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-25T07:55:00+03:00,2026-07-25 07:55:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-25T08:25:00+03:00,2026-07-25 08:25:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-28T02:00:00+03:00,2026-07-28 02:00:00+03:00,data_quality_event,FAILED,,,0.8,FAILED,,
data_quality_event_2026-07-28T07:20:00+03:00,2026-07-28 07:20:00+03:00,data_quality_event,FAILED,,,0.8,FAILED,,
data_quality_event_2026-07-28T11:20:00+03:00,2026-07-28 11:20:00+03:00,data_quality_event,PARTIAL,Favorable,20.57407939599617,0.8,PARTIAL,20.57407939599617,Favorable
ordinary_2026-07-15T05:25:00+03:00,2026-07-15 05:25:00+03:00,ordinary,OK,Acceptable,37.500000000000014,0.8,OK,37.500000000000014,Acceptable
ordinary_2026-07-18T12:15:00+03:00,2026-07-18 12:15:00+03:00,ordinary,OK,Critical,87.55597014925372,0.8,OK,87.55597014925372,Critical
ordinary_2026-07-23T15:35:00+03:00,2026-07-23 15:35:00+03:00,ordinary,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
ordinary_2026-07-25T15:15:00+03:00,2026-07-25 15:15:00+03:00,ordinary,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
ordinary_2026-07-27T23:00:00+03:00,2026-07-27 23:00:00+03:00,ordinary,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
outdoor_context_fresh_2026-07-15T07:40:00+03:00,2026-07-15 07:40:00+03:00,outdoor_context_fresh,OK,Acceptable,38.0478977588598,0.8,OK,38.0478977588598,Acceptable
outdoor_context_fresh_2026-07-16T07:50:00+03:00,2026-07-16 07:50:00+03:00,outdoor_context_fresh,OK,Acceptable,37.499999999999986,0.8,OK,37.499999999999986,Acceptable
outdoor_context_fresh_2026-07-16T20:30:00+03:00,2026-07-16 20:30:00+03:00,outdoor_context_fresh,OK,Critical,87.55597014925372,0.8,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-07-17T00:20:00+03:00,2026-07-17 00:20:00+03:00,outdoor_context_fresh,OK,Critical,82.48405610350949,0.8,OK,82.48405610350949,Critical
outdoor_context_fresh_2026-07-26T13:00:00+03:00,2026-07-26 13:00:00+03:00,outdoor_context_fresh,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
outdoor_context_stale_2026-07-23T22:20:00+03:00,2026-07-23 22:20:00+03:00,outdoor_context_stale,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
