computed_ts,window_minutes,component,available,crisp_score,membership_favorable,membership_acceptable,membership_degraded,membership_critical,room,season
2026-06-18 07:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:35:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:40:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:45:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:45:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 07:45:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:50:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:50:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:50:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:55:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:55:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:55:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:00:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:00:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:00:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:05:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:10:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:15:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:20:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:25:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:30:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:35:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:40:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:45:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:45:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:45:00+03:00,15,V,False,,,,,,kitchen,warm_period
