start_ts,end_ts,duration_samples,duration_minutes,triggering_channels,peak_score
2026-07-06 08:33:40.536541+00:00,2026-07-06 08:36:10.536950+00:00,6,3.0,co2_ppm,11.241512657943252
2026-07-06 09:56:40.550205+00:00,2026-07-06 10:00:40.553191+00:00,9,4.5,co2_ppm,34.77374582190446
2026-07-06 10:02:10.553438+00:00,2026-07-06 10:07:40.554375+00:00,12,6.0,co2_ppm,32.91514906245785
2026-07-06 10:08:40.554539+00:00,2026-07-06 10:11:40.555020+00:00,7,3.5,co2_ppm,18.211250505868072
2026-07-06 17:33:10.627534+00:00,2026-07-06 17:35:10.627874+00:00,5,2.5,co2_ppm,3.822114303700706
2026-07-06 18:37:10.638125+00:00,2026-07-06 18:42:40.639009+00:00,12,6.0,co2_ppm,54.63375151760421
2026-07-06 19:54:10.650755+00:00,2026-07-06 19:56:40.651165+00:00,6,3.0,"mass_pm10,mass_pm2_5",28.71638503821279
2026-07-06 20:02:40.652149+00:00,2026-07-06 20:04:10.652393+00:00,4,2.0,"mass_pm10,mass_pm2_5",934.6245893847127
2026-07-06 20:05:10.652558+00:00,2026-07-06 20:12:40.653783+00:00,16,8.0,"mass_pm10,mass_pm2_5",465.5724030437809
2026-07-06 20:21:40.655265+00:00,2026-07-06 20:27:40.656248+00:00,13,6.5,"mass_pm10,mass_pm2_5",113.66946713373368
2026-07-06 21:00:10.665091+00:00,2026-07-06 21:22:10.669000+00:00,45,22.5,"mass_pm10,mass_pm2_5",76.15794235457845
2026-07-06 21:23:40.669269+00:00,2026-07-06 21:25:10.669530+00:00,4,2.0,mass_pm10,3.8065952043709546
2026-07-06 22:21:10.678763+00:00,2026-07-06 22:23:10.679091+00:00,5,2.5,co2_ppm,4.384189936597869
2026-07-06 23:35:40.691131+00:00,2026-07-06 23:38:10.691553+00:00,6,3.0,co2_ppm,3.822114303700706
2026-07-06 23:58:40.694921+00:00,2026-07-07 00:02:10.695502+00:00,8,4.0,pressure_hpa,5.39592607582043
2026-07-07 06:11:10.758960+00:00,2026-07-07 06:34:10.762763+00:00,47,23.5,co2_ppm,36.49744442945576
2026-07-07 13:25:10.837175+00:00,2026-07-07 13:27:40.837585+00:00,6,3.0,"mass_pm10,mass_pm2_5",3.8015114428773593
2026-07-07 15:41:10.859566+00:00,2026-07-07 15:45:40.861180+00:00,10,5.0,co2_ppm,5.395926075812762
2026-07-07 18:49:40.893100+00:00,2026-07-07 18:52:10.893528+00:00,6,3.0,pressure_hpa,3.597284050540705
2026-07-07 18:53:10.893694+00:00,2026-07-07 18:54:40.893945+00:00,4,2.0,pressure_hpa,4.271774810021845
2026-07-07 19:07:10.895984+00:00,2026-07-07 19:09:40.896395+00:00,6,3.0,pressure_hpa,3.541076487249968
2026-07-07 19:18:40.897848+00:00,2026-07-07 19:22:40.898495+00:00,9,4.5,co2_ppm,13.152569809793606
2026-07-07 20:03:40.905352+00:00,2026-07-07 20:07:10.905946+00:00,8,4.0,co2_ppm,11.972210980709566
2026-07-07 20:43:40.912029+00:00,2026-07-07 20:59:40.914671+00:00,33,16.5,pressure_hpa,5.958001708715036
2026-07-07 22:17:10.930433+00:00,2026-07-07 22:22:40.931308+00:00,12,6.0,co2_ppm,21.752326993120196
2026-07-08 00:14:10.949741+00:00,2026-07-08 00:15:40.949987+00:00,4,2.0,co2_ppm,7.644228607401412
2026-07-08 01:08:40.958638+00:00,2026-07-08 01:13:40.959431+00:00,11,5.5,co2_ppm,39.79495480911911
2026-07-08 02:08:10.968408+00:00,2026-07-08 02:09:40.968662+00:00,4,2.0,pressure_hpa,6.74490759477362
2026-07-08 07:59:41.030523+00:00,2026-07-08 08:01:11.030769+00:00,4,2.0,pressure_hpa,3.709699177125108
2026-07-08 08:02:41.031019+00:00,2026-07-08 08:13:41.032770+00:00,23,11.5,pressure_hpa,4.181842708748449
2026-07-08 09:18:11.043445+00:00,2026-07-08 09:32:41.045840+00:00,30,15.0,"co2_ppm,mass_pm10,mass_pm2_5",7.358081012471948
2026-07-08 09:34:11.046087+00:00,2026-07-08 09:36:41.046498+00:00,6,3.0,co2_ppm,3.3724537973829762
2026-07-08 09:41:11.047237+00:00,2026-07-08 09:43:11.047570+00:00,5,2.5,co2_ppm,3.468809620165347
2026-07-08 11:42:41.067530+00:00,2026-07-08 11:48:11.068443+00:00,12,6.0,co2_ppm,31.25140518908224
2026-07-08 13:21:11.083804+00:00,2026-07-08 13:24:11.084296+00:00,7,3.5,co2_ppm,3.8542329112948295
2026-07-08 14:47:11.097579+00:00,2026-07-08 14:58:11.259502+00:00,23,11.5,"co2_ppm,mass_pm10",12.718968607272938
2026-07-08 18:10:41.292107+00:00,2026-07-08 18:13:41.292609+00:00,7,3.5,co2_ppm,14.389136202167364
2026-07-09 01:44:11.369047+00:00,2026-07-09 01:45:41.369293+00:00,4,2.0,pressure_hpa,4.046944556864683
2026-07-09 02:33:41.377262+00:00,2026-07-09 02:39:11.378167+00:00,12,6.0,co2_ppm,25.85547911326948
2026-07-09 05:24:11.405423+00:00,2026-07-09 05:42:11.408349+00:00,37,18.5,"co2_ppm,mass_pm10,mass_pm2_5",10.994199379468503
2026-07-09 05:44:11.408673+00:00,2026-07-09 05:50:41.409757+00:00,14,7.0,co2_ppm,4.16957924040077
2026-07-09 07:51:41.429510+00:00,2026-07-09 08:07:41.432072+00:00,33,16.5,co2_ppm,6.475111290975314
2026-07-09 10:34:41.458334+00:00,2026-07-09 10:40:11.459223+00:00,12,6.0,co2_ppm,55.3082422770808
2026-07-09 13:37:41.488472+00:00,2026-07-09 13:40:41.488964+00:00,7,3.5,co2_ppm,15.513287467961689
2026-07-09 17:17:41.525347+00:00,2026-07-09 17:26:41.526902+00:00,19,9.5,co2_ppm,4.42166164545768
2026-07-09 17:28:41.527233+00:00,2026-07-09 17:30:11.527479+00:00,4,2.0,co2_ppm,8.296236341562121
2026-07-09 18:23:11.536892+00:00,2026-07-09 18:25:11.537217+00:00,5,2.5,co2_ppm,4.196831392298814
2026-07-09 18:53:41.541879+00:00,2026-07-09 18:57:41.542556+00:00,9,4.5,pressure_hpa,4.721435316340001
2026-07-09 18:58:41.542720+00:00,2026-07-09 19:00:41.543048+00:00,5,2.5,co2_ppm,5.251392341639206
2026-07-09 19:11:11.544742+00:00,2026-07-09 19:14:11.545243+00:00,7,3.5,co2_ppm,5.485858177076308
2026-07-09 19:15:41.545497+00:00,2026-07-09 19:17:41.545834+00:00,5,2.5,pressure_hpa,4.046944556863405
2026-07-10 01:32:11.607867+00:00,2026-07-10 01:40:41.609258+00:00,18,9.0,co2_ppm,42.26808759386663
2026-07-10 02:43:11.619447+00:00,2026-07-10 02:46:11.619949+00:00,7,3.5,pressure_hpa,4.721435316341918
